License No.,Company Name,Dispensing or not?,Schedule of Chm (S1/S2),Company Address,External Packing,Revised Date
CR-2003-00001,KAM TO CHINESE MEDICINE SHOP,Yes,S1 & S2,"STALL 55, TAI WO HAU ESTATE MARKET, TSUEN WAN, N.T.",No,2017-10-06
CR-2003-00014,CHEUNG SHING (GROUP) MEDICINE CO.,Yes,S1 & S2,"G/F, 25 TAK MAN ST, WHAMPOA SUN CHUEN, HUNG HOM, KOWLOON",No,2017-10-06
CR-2003-00018,WING SANG WHOLESALE LIMITED,No,S2,"SHOP B-C, G/F, KO SHING BLDG, 48-66 KO SHING ST, HONG KONG",No,2017-10-06
CR-2003-00020,WING ON TONG MEDICINE COMPANY,Yes,S1 & S2,"G/F, 3 MUI WO RURAL COMMITTEE ROAD, LANTAU ISLAND, HONG KONG",No,2017-10-06
CR-2003-00022,KWAN YEE MEDICINE SHOP,Yes,S1 & S2,"SHOP 44, G/F, ALDRICH GARDEN, 2 OI LAI STREET, SHAU KEI WAN, HONG KONG",No,2017-10-06
CR-2003-00023,PO LING MEDICINE,Yes,S2,"FLAT G29, G/F, EAST COMMERCIAL BLOCK, 18A SOUTH HORIZON DRIVE, HONG KONG",No,2017-10-06
CR-2003-00028,KWOK WING MEDICINE HONG,Yes,S1 & S2,"FLAT/RM 1, G/F, KAM FUNG BLDG, 75 FUNG TAK ROAD, WONG TAI SIN, KOWLOON",No,2017-10-06
CR-2003-00033,CHAP HING CHEUNG (HONG KONG) LIMITED,No,S2,"FLAT/RM B, 3/F, UNISON INDUSTRIAL BLDG, 7 SUN YIP STREET, CHAI WAN, HONG KONG",No,2017-10-06
CR-2003-00036,WING CHEONG TAI GINSENG DEER HORN COMPANY LIMITED,No,S2,"G/F, 157 QUEEN'S ROAD WEST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00037,YAU LUEN MEDICINE CO.,Yes,S2,"SHOP X, G/F, LEE KEE BUILDING, NO. 55 NGAU TAU KOK ROAD, NGAU TAU KOK, KOWLOON",No,2017-10-06
CR-2003-00039,SUN FUNG SWALLOW NESTS GINSENG DEERHORN SEAPRODUCTS CO.,No,S2,"SHOP A78, G/F, KWAI CHUNG PLAZA, 7-11 KWAI FOO ROAD, KWAI CHUNG, N.T.",No,2017-10-06
CR-2003-00040,NEW CHUNG FAI GINSENG & MEDICINE CO.,Yes,S2,"4-5, G/F, NAM SHING MANSION, 16 NAM SHING ST, TAI PO, N.T.",No,2017-10-06
CR-2003-00042,QING SHUN CHINESE MEDICINAL MATERIALS COMPANY,No,S2,"SHOP D, G/F, WING TAT COMMERCIAL BUILDING, 97 BONHAM STRAND EAST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00044,SUN SHING HONG LIMITED,No,S2,"SHOP F, G/F, WILMER BUILDING, 19 WILMER STREET, 104-106 CONNAUGHT ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-00050,SHING CHUN YUEN GINSENG MEDICINE HONG,Yes,S1 & S2,"G/F, NO 23 NORTH POINT RD, HONG KONG",No,2017-10-06
CR-2003-00053,HANG SANG MEDICINE TONG COMPANY,Yes,S1 & S2,"SHOP 2U ON LEVEL 4, SCENEWAY PLAZA, 8 SCENEWAY ROAD, LAM TIN, KOWLOON",No,2017-10-06
CR-2003-00055,HING LEE TRADING DEVELOPMENT LIMITED,No,S2,"FLAT E, 1/F, KAI FAT BLDG, 204-210 WING LOK ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00056,YAT TING HO MEDICINE HONG,No,S2,"G/F, 1N LOK SHAN RD, TO KWA WAN, KOWLOON",No,2017-10-06
CR-2003-00057,HONG KONG SING HING LUNG LIMITED,No,S2,"G/F, 39-41 BONHAM STRAND WEST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00059,"SUN CHEONG GINSANG & MEDICINE CO., LIMITED",Yes,S2,"G/F, 65 WAN CHAI RD, HONG KONG",No,2017-10-06
CR-2003-00060,HANG SANG MEDICINE CO.,Yes,S1 & S2,"SHOP NO 47-48, 3/F, SCENEWAY PLAZA, LAM TIN, KOWLOON",No,2017-10-06
CR-2003-00061,TAT SHING HONG,No,S2,"SHOP B, G/F, HING TAI COMMERCIAL BUILDING, 114 WING LOK STREET, HONG KONG",No,2017-10-06
